id,user_created_time,user,user_description,user_followers_count,user_profile_location,tweet_geo_loc,tweets,likes,time
537233969,Mon Mar 26 13:57:20 +0000 2012,4rief__,🇲🇾,301,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 22:36:51+00:00
742910226,Tue Aug 07 13:29:35 +0000 2012,asdaddyasf,dexterous,134,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 22:35:59+00:00
824412797240881152,Thu Jan 26 00:25:02 +0000 2017,RenoFirdaus7,"I'm just a friendly guy next door that support BN Govt 100%. 
#MaluApaBossKu",1001,"Kota Kinabalu, Sabah",,"“Kerajaan hari ini masih boleh bertahan” – Najib

Bekas Perdana Menteri, Dato Sri Najib Razak menyatakan kerajaan h… https://t.co/VySNVRLWxk",16,2022-05-26 22:18:18+00:00
1202468713573711873,Thu Dec 05 06:04:43 +0000 2019,easternauroraa,ℌ𝔞𝔭𝔭𝔦𝔫𝔢𝔰𝔰 𝔦𝔰 𝔞 𝔟𝔲𝔱𝔱𝔢𝔯𝔣𝔩𝔶,131,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 18:22:37+00:00
3140108310,Sun Apr 05 10:46:51 +0000 2015,EncikMatt,"Keep calm, smile & be positive at all time.",104,"Merlimau, Melaka",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 17:59:28+00:00
53978889,Sun Jul 05 19:10:09 +0000 2009,yesiwasbored,"Master of Ceremony / Event Planner / WWF Journey of Water Ambassador / Thirsty Traveller.
.
Habitat: Neighborhood Watering hole.
.
Mr.Give-Your-Girl-Back",141,"Kuala Lumpur, Wilayah Persekut",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 17:56:39+00:00
1370137675001307136,Thu Mar 11 22:21:07 +0000 2021,syedrunner77,Selagi ada pengkhianat.. Selagi tu lah negara x ada berkat..,864,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 17:50:51+00:00
2334479052,Sun Feb 09 03:45:45 +0000 2014,xtshitshi,Rspect All. Fear None.,247,BKI,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 17:37:06+00:00
903578192346091522,Fri Sep 01 11:20:03 +0000 2017,adil_syakeer,,61,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 17:18:05+00:00
253867670,Fri Feb 18 03:50:44 +0000 2011,hafizisabel,,286,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 17:02:50+00:00
844737650,Tue Sep 25 02:46:33 +0000 2012,NazShadow,"#Dunya yang kamu kejar selama ini milik #Allah,ianya dhias indah tanpa kamu ketahui dsisi Al Khaliq ia hya debu yg bterbangan  #r4bia",274,Palestine,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 16:50:04+00:00
1968654367,Fri Oct 18 10:38:57 +0000 2013,JoseWoaquin,"Doting father 👮, Gamer since 90s 🎮, SaaS 💻, Google PDE 🎓 & Red Devil for life ⚽",85,"Kuala Lumpur, Wilayah Persekut",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 16:42:55+00:00
1449821444,Wed May 22 20:20:57 +0000 2013,ramezalpun,cuma ber-idea,241,"Petaling Jaya, Selangor",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 16:22:18+00:00
743104435295911936,Wed Jun 15 15:34:38 +0000 2016,dmasyi,,75,,,"RT @mynewshub: Oh. Sanggup dia tinggalkan abah.

Masuk PKR keluar PKR.
Masuk PPBM keluar PPBM.
Masuk PBM ... 

dan seterusnya dan seterusny…",0,2022-05-26 16:18:58+00:00
1493462007689129984,Tue Feb 15 05:48:05 +0000 2022,roslana58110406,,0,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 16:05:22+00:00
3030459398,Thu Feb 19 15:33:42 +0000 2015,Papazola59,,358,Malaysia,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:55:52+00:00
1192118395908411392,Wed Nov 06 16:35:58 +0000 2019,mysrtmz,"Engineer • Lifelong student of Islāmic worldview, Malay hikmah & Asian renaissance • @KEADILAN member",854,Malaysia,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:41:53+00:00
37870346,Tue May 05 06:09:58 +0000 2009,ilyanaaakhalid,What would happen if the sky turned grey? Will we part or will you stay?,1376,57000,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:39:50+00:00
525177136,Thu Mar 15 08:45:08 +0000 2012,asrafnoor_,💟,75,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:33:06+00:00
1453630198981664771,Thu Oct 28 07:51:49 +0000 2021,RashidahAbdull8,An overthinker. 🥹,54,"Kuching, Sarawak",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:28:54+00:00
404798381,Fri Nov 04 12:36:48 +0000 2011,fadilhuri,Everything gets better with coffee and cigar,824,46000,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:25:55+00:00
1314128732714541056,Thu Oct 08 09:01:26 +0000 2020,nfidz_,KL 🇲🇾 • Young Reformist • Youth Voice • UNITY,106,Kuala Lumpur,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:25:20+00:00
771020145577762816,Wed Aug 31 16:21:42 +0000 2016,SdqSani,"Feudal tebal, rakyat bebal",272,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-26 15:25:01+00:00
